config,round,client_id,cid,malicious,bi_accuracy,bi_logloss,err_impact,lfr_impact
attack_err_lfr,7,4,b7b427156a48430193e6ded5ad0899d9,False,0.143,11.8594,-0.000705,-0.009497
attack_err_lfr,8,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1419,12.0351,0.00025,0.004709
attack_err_lfr,8,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.1412,12.0427,-0.00045,-0.002835
attack_err_lfr,8,4,b7b427156a48430193e6ded5ad0899d9,False,0.1413,12.0494,-0.000335,-0.009508
attack_err_lfr,8,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.1417,12.0345,5.5e-05,0.005346
attack_err_lfr,8,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9649,0.0791,0.8233,11.96076
attack_err_lfr,9,4,b7b427156a48430193e6ded5ad0899d9,False,0.1429,11.9041,-0.00051,-0.008392
attack_err_lfr,9,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.143,11.8976,-0.000375,-0.001868
attack_err_lfr,9,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1436,11.8903,0.00015,0.005376
attack_err_lfr,9,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9653,0.0784,0.82191,11.817349
attack_err_lfr,9,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.1435,11.8914,8.5e-05,0.00428
attack_err_lfr,10,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.1438,11.3773,0.000105,0.003879
attack_err_lfr,10,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9655,0.0778,0.82179,11.303376
attack_err_lfr,10,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1438,11.3808,2.5e-05,0.00039
attack_err_lfr,10,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.1429,11.3843,-0.000805,-0.003161
attack_err_lfr,10,4,b7b427156a48430193e6ded5ad0899d9,False,0.1433,11.3933,-0.0004,-0.01212
